,a,u,position
0,0.0019399310449586893,-0.0025294335779145797,0.0025637895250885116
1,0.10255825616579475,0.00047203125081995555,0.055548773043584423
2,0.0461398579538049,-0.001449505773321484,0.02185325357099255
3,0.22460926219067026,0.004716906170434796,0.1374679526309364
4,0.1344229061807582,0.0018394089390549248,0.07996581613966548
5,0.17616837196445922,0.0037442357497839166,0.11646929556830668
6,0.1669329745495467,0.003442164309776177,0.11036503479428642
7,0.15628548602913303,0.002981576145908413,0.10133072884873642
8,0.15686840463992446,0.003006856279757824,0.10181906971065804
9,-0.2840454957477229,-0.005537141569137892,0.08545965083628372
10,-0.3240202949183476,-0.006210232752875925,0.027835429129532414
11,-0.2771151933395669,-0.005433642493242997,0.09022097424001953
12,-0.3208581918332507,-0.006217724490491675,0.024905383958002687
13,-0.28454732091297485,-0.005544796986382853,0.0850933951898425
14,-0.17750636432900332,-0.0038751486876774173,0.14186302038823098
15,-0.2991709621252856,-0.006216895782550099,0.0073251129288243195
16,-0.326915994515062,-0.00619096217080264,0.03308509339518984
17,-0.3030776971946845,-0.005824574455299252,0.06983274325479184
18,-0.013214964603177034,-0.0006900501711989423,0.08790135514589183
19,-0.01569972052418095,-7.534171222936805e-05,0.05322915394945672
20,0.0013948339165525288,0.0006000918942256138,0.01562690758149188
21,-0.01481075560701429,-0.00010153852164820199,0.054694176535221586
22,-0.013308384786344805,0.0004375341599265936,0.024661213527041877
23,-0.008375258583755403,0.0004990399114480371,0.021242827493590525
24,-0.03537370291058303,-0.0010654237965813974,0.10951043828592358
25,-0.013702409578308478,-0.00014298596063964356,0.05701379562934929
26,-0.004333559789752668,0.0005407787730457752,0.018923208399462824
27,0.1518550936747773,0.002667614056938076,0.08582590648272494
28,0.2540172457140022,0.0032072985410528635,0.03857892809180808
29,0.144998342104208,0.002616808232064734,0.09009888902453912
30,0.25656959105705446,0.003219814728678929,0.03748016115248443
31,0.2699925365540575,0.003285394109893275,0.031742156024905384
32,0.2276216726873198,0.003093808089965053,0.04858991576120132
33,0.1706254386875539,0.002812670120539339,0.0733732145037236
34,0.26860567440365724,0.0032784003939258207,0.03235258210230741
35,0.1708260193889502,0.0028140737342502277,0.07325112928824319
36,-0.0018447766770517775,0.0015821482064042676,0.11341716518129655
37,-0.012122974428444575,0.0011285002986724073,0.13624710047613234
38,-0.004091302679738683,0.0015430895259573064,0.11549261384446344
39,0.1014915725408298,0.002568863346288052,0.04907825662312294
40,-0.014852159297439391,0.0009111878264498122,0.14638017336100598
41,-0.011551544428003971,0.0011616892437363738,0.13465999267488707
42,-0.014637546195745236,0.000927201988701715,0.14564766206812355
43,0.0418926517150208,0.002082596738050687,0.08423879868147967
44,-0.01257530423877667,0.001097656012391908,0.1377121230618972
45,0.4382229593650563,0.002024810962690728,0.08936637773165669
46,0.46519122865666807,0.002408234186577028,0.08362837260407764
47,0.5028785057432972,0.00305289551226696,0.07434989622756684
48,0.596755601647767,0.006713083640970747,0.028812110853375657
49,0.5540346561154965,0.004697530685097862,0.052618727872054696
50,0.309826343323944,0.0004720486562263872,0.11414967647417898
51,0.46848036277864963,0.0024579806164188142,0.08289586131119521
52,0.5498815089026237,0.004532089077856108,0.054694176535221586
53,0.2772941175111599,0.00014556214231913013,0.11964351117079722
54,0.1436780466636364,0.0034345255637743015,0.13868880478574044
55,0.181747008237623,0.002793940974546547,0.000366255646441216
56,0.0920253317888882,0.0035315671993545266,0.10181906971065804
57,0.10748788476637705,0.003077831802942054,0.024783298742522282
58,0.17001909520725134,0.0028425592398865582,0.004272982541814186
59,0.13254478375267037,0.0034887804380482647,0.12709070931510194
60,0.0629098338536916,0.003277215098246324,0.04578195580515199
61,0.08564353070648574,0.0031646137901525256,0.03332926382615065
62,0.14028136223311813,0.003457614603948937,0.13429373702844585
